SOURCE DOMAIN,TARGET DOMAIN
iupui.edu,ohio-state.edu
nasc.mass.edu,monmouth.edu
sunyit.edu,seattleu.edu
sl.psu.edu,nsuok.edu
uophx.edu,csp.edu
cuc.edu,franklin.edu
wsc.mass.edu,creighton.edu
etsu.edu,simmons.edu
utb.edu,hamilton.edu
wcslc.edu,nlu.edu
umassp.edu,fiu.edu
fortlewis.edu,roanoke.edu
skidmore.edu,siu.edu
csulb.edu,wuacc.edu
alleg.edu,ceu.edu
iastate.edu,csuohio.edu
cord.edu,uindy.edu
vjc.edu,uww.edu
udc.edu,ewu.edu
college.antioch.edu,devry.edu
snu.edu,uamont.edu
trincoll.edu,uamont.edu
muohio.edu,wheaton.edu
virginia.edu,washcoll.edu
gfc.edu,uh.edu
bryant.edu,chesapeake.edu
campbell.edu,wit.edu
liberty.edu,semo.edu
sfasu.edu,sdsu.edu
wit.edu,rmc.edu
umm.maine.edu,csc.vsc.edu
simmons.edu,presby.edu
urich.edu,goshen.edu
gbc.edu,uthct.edu
lhup.edu,mcu.edu
chatham.edu,stlcop.edu
ferris.edu,brenau.edu
uchaswv.edu,wlu.edu
smu.edu,thomasmore.edu
olivet.edu,oit.osshe.edu
ric.edu,stanford.edu
marist.edu,berea.edu
uwsuper.edu,wcslc.edu
gmu.edu,truman.edu
utmb.edu,juniata.edu
seattleu.edu,metro.inter.edu
snu.edu,shu.edu
stlawu.edu,udel.edu
uga.edu,roanoke.edu
wm.edu,bgsu.edu
stmartin.edu,plymouth.edu
ltu.edu,southwestern.edu
antiochne.edu,iona.edu
cwru.edu,csusm.edu
emmanuel.edu,heidelberg.edu
riv.edu,lawrence.edu
loyola.edu,friends.edu
lsua.edu,cnu.edu
muohio.edu,gfc.edu
wuacc.edu,callutheran.edu
lunet.edu,sdsmt.edu
utexas.edu,mtu.edu
augsburg.edu,iwctx.edu
udel.edu,southern.edu
stlawu.edu,sc.edu
elmhurst.edu,pratt.edu
ipfw.indiana.edu,stkate.edu
csc.vsc.edu,austinc.edu
brynmawr.edu,kutztown.edu
csuchico.edu,babson.edu
vic.edu,hartwick.edu
wisc.edu,transy.edu
cornell.edu,fredonia.edu
norwich.edu,uca.edu
coastal.edu,ufl.edu
hartwick.edu,truman.edu
tcu.edu,washington.edu
emu.edu,cofc.edu
cc.edu,platt.edu
muskingum.edu,dowling.edu
ric.edu,moravian.edu
furman.edu,citadel.edu
wvup.wvnet.edu,niagara.edu
winona.msus.edu,coker.edu
ju.edu,odu.edu
sunysb.edu,sacredheart.edu
rice.edu,hsc.colorado.edu
sdsmt.edu,pbac.edu
kzoo.edu,westga.edu
ucr.edu,afit.af.mil
emu.edu,rider.edu
brenau.edu,buffalo.edu
colby.edu,indwes.edu
usm.maine.edu,uwp.edu
valdosta.peachnet.edu,rhodes.edu
swac.edu,bennington.edu
wilkes.edu,mtsu.edu
iastate.edu,lcsc.edu
uwp.edu,evansville.edu
uh.edu,upenn.edu
utampa.edu,thomas.edu
seattleu.edu,stolaf.edu
uog.edu,colby.edu
bhsu.edu,mcm.acu.edu
umkc.edu,northland.edu
wsc.colorado.edu,sarasota.fl.us
nnc.edu,stanford.edu
rochester.edu,stcloud.msus.edu
nyit.edu,hofstra.edu
wsc.mass.edu,nmclites.edu
wlsc.wvnet.edu,oxy.edu
lssu.edu,fsufay.edu
stmarys-ca.edu,wlu.edu
loras.edu,muskingum.edu
centre.edu,poly.edu
usf.edu,yu.edu
briar-cliff.edu,mursuky.edu
shsu.edu,wpi.edu
holycross.edu,centre.edu
muc.edu,montreat.edu
cup.edu,lsc.vsc.edu
ursinus.edu,clarkson.edu
nwu.edu,wsu.edu
usu.edu,nnc.edu
mercer.peachnet.edu,lycoming.edu
hamilton.edu,mcg.edu
alleg.edu,sdsmt.edu
dartmouth.edu,centenary.edu
cedarville.edu,unomaha.edu
udel.edu,csuchico.edu
simons-rock.edu,sshechan.edu
stolaf.edu,msmc.edu
mcu.edu,sarasota.fl.us
stmarys-ca.edu,iona.edu
oberlin.edu,coastal.edu
okcu.edu,Peace.edu
Dordt.edu,gac.edu
fresno.edu,sfasu.edu
bridgeport.edu,hofstra.edu
onu.edu,westal.edu
lssu.edu,lcsc.edu
uncg.edu,letu.edu
acu.edu,smsu.edu
washcoll.edu,westmont.edu
marymt.edu,mwsc.edu
tucsonu.edu,dwc.edu
gwu.edu,mcu.edu
misu.nodak.edu,fiu.edu
union.edu,usc.edu
wmwoods.edu,twu.edu
vt.edu,warren-wilson.edu
umf.maine.edu,baldwinw.edu
sbu.edu,carthage.edu
utsystem.edu,tamucc.edu
strayer.edu,bgu.edu
bhsu.edu,dowling.edu
ewu.edu,ucsd.edu
beloit.edu,ume.maine.edu
utep.edu,iona.edu
lincoln.edu,cortland.edu
elon.edu,fgcu.edu
bluffton.edu,warren-wilson.edu
cuis.edu,wcslc.edu
emu.edu,unc.edu
sjsu.edu,sonoma.edu
evergreen.edu,cc.colorado.edu
ju.edu,umf.maine.edu
andrews.edu,sxu.edu
carroll.edu,bcm.tmc.edu
deltast.edu,csuohio.edu
unh.edu,uwsp.edu
kumc.edu,mcu.edu
cityu.edu,oakland.edu
utexas.edu,bemidji.msus.edu
uaa.alaska.edu,monm.edu
astate.edu,Dordt.edu
ramapo.edu,bemidji.msus.edu
baylor.edu,evansville.edu
otterbein.edu,sbc.edu
wvup.wvnet.edu,snu.edu
gallaudet.edu,lsu.edu
shc.edu,usmma.edu
huntcol.edu,wesley.edu
uca.edu,cgs.edu
csp.edu,uog.edu
gfc.edu,jc.edu
newpaltz.edu,adelphi.edu
moorhead.msus.edu,aic.edu
antiochne.edu,pratt.edu
lehigh.edu,uwstout.edu
pratt.edu,strayer.edu
callutheran.edu,dsc.edu
graceland.edu,depaul.edu
briar-cliff.edu,manc.edu
tayloru.edu,middlebury.edu
seattleu.edu,canisius.edu
hofstra.edu,uop.edu
saintmarys.edu,warren-wilson.edu
purduenc.edu,uidaho.edu
wittenberg.edu,wpi.edu
ume.maine.edu,msubillings.edu
bucknell.edu,millersv.edu
wwc.edu,usu.edu
wlu.edu,sosc.osshe.edu
centre.edu,usafa.af.mil
uky.edu,mbc.edu
gettysburg.edu,udel.edu
wmc.edu,gatech.edu
vt.edu,tulane.edu
tamu.edu,beaver.edu
howard.edu,csubak.edu
drake.edu,ucdavis.edu
monm.edu,csusm.edu
lawrence.edu,utsa.edu
bloomu.edu,sewanee.edu
colby.edu,csusb.edu
clarke.edu,oberlin.edu
highpoint.edu,sshechan.edu
olivet.edu,rider.edu
wwu.edu,davidson.edu
usc.edu,wright.edu
chapman.edu,louisville.edu
uab.edu,cmc.edu
bgsp.edu,uams.edu
scottlan.edu,cedarville.edu
enmu.edu,rwu.edu
franklin.edu,gwu.edu
smcvt.edu,hmc.edu
smcks.edu,umf.maine.edu
miami.edu,mwc.edu
sshechan.edu,uor.edu
umpi.maine.edu,bsu.edu
college.antioch.edu,wfu.edu
berea.edu,rice.edu
dickinson.edu,oit.osshe.edu
saintjoe.edu,monmouth.edu
jwu.edu,ohio-state.edu
ncat.edu,wcu.edu
carroll.edu,tamucc.edu
stlawu.edu,bc.edu
unm.edu,uiowa.edu
astate.edu,nyu.edu
middlebury.edu,hsc.edu
montreat.edu,mwsu.edu
harvard.edu,jbu.edu
uor.edu,umr.edu
und.nodak.edu,lincoln.edu
dillard.edu,bridgeport.edu
wooster.edu,uml.edu
wmich.edu,crk.umn.edu
usiu.edu,newberry.edu
mtech.edu,centre.edu
uconn.edu,lycoming.edu
baldwinw.edu,ewu.edu
spu.edu,uiu.edu
grace.edu,ucsf.edu
NCCU.edu,unk.edu
bridgeport.edu,messiah.edu
shsu.edu,umm.maine.edu
yu.edu,usiu.edu
odc.edu,sjsu.edu
stcl.edu,woodburyu.edu
niagara.edu,goucher.edu
potsdam.edu,calpoly.edu
mursuky.edu,beloit.edu
cityu.edu,usafa.af.mil
grin.edu,csubak.edu
berea.edu,puc.edu
juniata.edu,fsufay.edu
smcvt.edu,unomaha.edu
greenleaf.edu,uwlax.edu
campbellsvil.edu,denison.edu
marion.ohio-state.edu,barry.edu
usm.edu,alfredtech.edu
hpu.edu,gfc.edu
trincoll.edu,wesleyan.edu
philacol.edu,nnc.edu
farmingdale.edu,ltu.edu
suffolk.edu,uncc.edu
muc.edu,platt.edu
pwu.com,su.edu
pittstate.edu,conncoll.edu
bakeru.edu,hope.edu
plattsburgh.edu,ramapo.edu
bu.edu,berea.edu
odc.edu,vill.edu
uchaswv.edu,averett.edu
udel.edu,swac.edu
nasc.mass.edu,drexel.edu
atu.edu,fsc.edu
luther.edu,ecsu.ctstateu.edu
swt.edu,hsc.colorado.edu
drury.edu,tucsonu.edu
peru.edu,lemoyne.edu
uncwil.edu,pembroke.edu
wesley.edu,iastate.edu
auburn.edu,dana.edu
svsu.edu,udel.edu
wilberforce.edu,vcu.edu
jwu.edu,usf.edu
rocky.edu,bible.edu
lafayette.edu,tnstate.edu
stthom.edu,andrews.edu
skidmore.edu,tsu.edu
northeastern.edu,strose.edu
sju.edu,ursinus.edu
utoledo.edu,otterbein.edu
antiochne.edu,hendrix.edu
taftu.edu,berkeley.edu
cc.edu,ucsf.edu
lwc.edu,drexel.edu
nmclites.edu,uwstout.edu
gettysburg.edu,csuhayward.edu
loyola.edu,gbc.edu
ursinus.edu,ups.edu
lehigh.edu,uca.edu
uofport.edu,mcw.edu
uark.edu,bridgeport.edu
linfield.edu,saintjoe.edu
adelphi.edu,tabor.edu
jsums.edu,stanford.edu
pratt.edu,uakron.edu
rmwc.edu,coastal.edu
virginia.edu,taiu.edu
berea.edu,berkeley.edu
wayne.edu,alma.edu
ua.edu,wuacc.edu
wartburg.edu,loyola.edu
hmc.edu,sfasu.edu
sjca.edu,emory.edu
sfcpa.edu,northern.edu
hastings.edu,cmsu.edu
conncoll.edu,wvu.edu
ilstu.edu,marymt.edu
sxu.edu,molloy.edu
wmitchell.edu,nmclites.edu
vwc.edu,kwu.edu
virginia.edu,northern.edu
ndu.edu,wsu.edu
newberry.edu,sunycentral.edu
fsufay.edu,yale.edu
csusm.edu,bgu.edu
nmsu.edu,williams.edu
msjnet.edu,umassd.edu
rpi.edu,harvard.edu
coastal.edu,clarku.edu
siue.edu,mcneese.edu
gettysburg.edu,sjcme.edu
rhodes.edu,centre.edu
usm.edu,uark.edu
uthct.edu,luc.edu
cedarville.edu,sshechan.edu
austinc.edu,cortland.edu
baylor.edu,stthomas.edu
wisc.edu,semo.edu
iit.edu,artic.edu
huntcol.edu,pbac.edu
cobleskill.edu,bates.edu
uog.edu,iona.edu
Ripon.EDU,grace.edu
rosary.edu,sshechan.edu
vancouver.wsu.edu,wcslc.edu
uwsuper.edu,dbu.edu
emmanuel.edu,lsu.edu
emmanuel.edu,nwmissouri.edu
arizona.edu,hope.edu
uncwil.edu,lasierra.edu
drew.edu,lacollege.edu
aic.edu,sshechan.edu
jones.edu,sbc.edu
vic.edu,du.edu
dbu.edu,bowdoin.edu
wustl.edu,ewu.edu
whitworth.edu,csum.edu
chapman.edu,artic.edu
lincoln.edu,ecu.edu
nmt.edu,arbor.edu
rockford.edu,uwrf.edu
miami.edu,dickinson.edu
norwich.edu,westal.edu
usc.clu.edu,kenyon.edu
loyola.edu,transy.edu
umf.maine.edu,uh.edu
fit.edu,uth.tmc.edu
ab.umd.edu,tusk.edu
union.edu,csusb.edu
uccs.edu,wcupa.edu
stvincent.edu,cwu.edu
adelphi.edu,sewanee.edu
urich.edu,aurora.edu
wesleyan.edu,tucsonu.edu
bvu.edu,upenn.edu
uwsuper.edu,wlsc.wvnet.edu
champlain.edu,apu.edu
cmc.edu,wsu.edu
usu.edu,jwu.edu
su.edu,montclair.edu
umt.edu,usafa.af.mil
northern.edu,skc.edu
marion.ohio-state.edu,fsufay.edu
mercer.peachnet.edu,dwu.edu
cn.edu,uidaho.edu
haskell.edu,fortlewis.edu
wwu.edu,uccs.edu
lhup.edu,trenton.edu
georgian.edu,uchicago.edu
lwc.edu,skidmore.edu
usma.edu,wpi.edu
uoknor.edu,semo.edu
rmwc.edu,warren-wilson.edu
cuis.edu,lrc.edu
franklin.edu,rwu.edu
sbuniv.edu,shsu.edu
luc.edu,bridgeport.edu
chesapeake.edu,hiram.edu
rowan.edu,uww.edu
drake.edu,cup.edu
brenau.edu,udel.edu
columbia.edu,devry.edu
utah.edu,marietta.edu
mcm.acu.edu,wcslc.edu
slu.edu,briar-cliff.edu
fau.edu,unf.edu
susqu.edu,kings.edu
ici.edu,bemidji.msus.edu
uwosh.edu,sunyit.edu
millsaps.edu,wesley.edu
umkc.edu,mckenna.edu
newberry.edu,udc.edu
mscfs.edu,whitman.edu
westal.edu,ucf.edu
hsc.edu,lclark.edu
Dordt.edu,gasou.edu
ius.indiana.edu,sapc.edu
olivet.edu,sarasota.fl.us
oru.edu,mcrest.edu
howard.edu,virginia.edu
smcks.edu,iit.edu
fresno.edu,wilmington.edu
carthage.edu,tamiu.edu
csudh.edu,artic.edu
devry.edu,scwww.ctstateu.edu
rollins.edu,unt.edu
clemson.edu,auc.edu
unl.edu,idbsu.edu
ufl.edu,dsc.edu
utoledo.edu,csudh.edu
vassar.edu,samford.edu
lacollege.edu,bethel.edu
hampshire.edu,runet.edu
harvard.edu,hope.edu
idbsu.edu,sbu.edu
uwm.edu,canisius.edu
conncoll.edu,uams.edu
gannon.edu,mwc.edu
llu.edu,unh.edu
amherst.edu,campbell.edu
oberlin.edu,dsu.nodak.edu
tarleton.edu,eosc.osshe.edu
cornell-iowa.edu,stetson.edu
pembroke.edu,niu.edu
sjcme.edu,nl.edu
spu.edu,unf.edu
swmed.edu,ugf.edu
uca.edu,caltech.edu
sapc.edu,uvm.edu
amherst.edu,norwich.edu
linfield.edu,une.edu
udmercy.edu,tsufl.edu
beaver.edu,jtsa.edu
cornell.edu,lmu.edu
iit.edu,mursuky.edu
scwww.ctstateu.edu,slc.edu
carthage.edu,montreat.edu
uni.edu,philacol.edu
beaver.edu,hamilton.edu
tamu.edu,evergreen.edu
roanoke.edu,southern.edu
nova.edu,tusk.edu
uark.edu,utampa.edu
utoledo.edu,mwsu.edu
colorado.edu,luthersem.edu
stlawu.edu,udmercy.edu
etsu.edu,Dordt.edu
temple.edu,mu.edu
urich.edu,manc.edu
knox.edu,bloomu.edu
uscolo.edu,stmartin.edu
odu.edu,snybuf.edu
eiu.edu,marietta.edu
alasu.edu,williams.edu
unf.edu,caltech.edu
rollins.edu,pdx.edu
ursinus.edu,utmdacc.uth.tmc.edu
lunet.edu,newhaven.edu
pembroke.edu,poly.edu
keene.edu,kumc.edu
usao.edu,chesapeake.edu
buffalo.edu,truman.edu
williams.edu,olemiss.edu
coker.edu,suu.edu
sbu.edu,truman.edu
sjcme.edu,shu.edu
auburn.edu,rowan.edu
centenary.edu,msoe.edu
thomas.edu,geneseo.edu
brown.edu,njit.edu
dbq.edu,millsaps.edu
mscd.edu,unh.edu
muw.edu,cmu.edu
wiu.edu,hope.edu
unomaha.edu,fit.edu
berklee.edu,carthage.edu
winthrop.edu,elmhurst.edu
swmed.edu,hiram.edu
williams.edu,nd.edu
hsc.colorado.edu,usma.edu
maine.edu,bowdoin.edu
ua.edu,millsaps.edu
indtech.edu,sjcme.edu
lewisu.edu,pwu.com
malone.edu,millikin.edu
northeastern.edu,otterbein.edu
indwes.edu,tusk.edu
uvm.edu,uwsp.edu
providence.edu,pembroke.edu
westminster-mo.edu,monm.edu
cooper.edu,hope.edu
wfu.edu,stfrancis.edu
nu.edu,chapman.edu
rockefeller.edu,austinc.edu
augsburg.edu,uwgb.edu
nsu.edu,ccsn.edu
gannon.edu,iwctx.edu
kent.edu,philacol.edu
lsc.vsc.edu,whittier.edu
ttuhsc.edu,sangamon.edu
jsu.edu,umm.maine.edu
hartwick.edu,wpi.edu
chapman.edu,austinc.edu
rider.edu,hope.edu
smumn.edu,naz.edu
shc.edu,depauw.edu
fuller.edu,buffalo.edu
pcci.edu,byuh.edu
apu.edu,uwlax.edu
millikin.edu,fontbonne.edu
udayton.edu,beaver.edu
gac.edu,potsdam.edu
udc.edu,unr.edu
unlv.edu,simons-rock.edu
muohio.edu,csc.peachnet.edu
ncbc.edu,ysu.edu
pittstate.edu,sdsu.edu
whitworth.edu,pwu.com
smcks.edu,cua.edu
bethany.wvnet.edu,jfku.edu
fhsu.edu,sdsmt.edu
wmich.edu,wpi.edu
oru.edu,oberlin.edu
bethel.edu,central.edu
wmc.edu,umassd.edu
stu.edu,ucsf.edu
uchaswv.edu,davenport.edu
idbsu.edu,nku.edu
vic.edu,msstate.edu
lasalle.edu,uwlax.edu
heidelberg.edu,jtsa.edu
mcrest.edu,wofford.edu
denison.edu,panam.edu
newpaltz.edu,udayton.edu
wells.edu,njit.edu
fsu.umd.edu,wmitchell.edu
bard.edu,bowdoin.edu
ohsu.edu,eku.edu
apsu.edu,uhh.hawaii.edu
stthom.edu,simmons.edu
puc.edu,jcsu.edu
assumption.edu,swarthmore.edu
uwrf.edu,mc.edu
orst.edu,devry-phx.edu
weber.edu,fhsu.edu
calvin.edu,gatech.edu
muw.edu,umassd.edu
tsu.edu,harding.edu
bluffton.edu,fullerton.edu
rollins.edu,wlsc.wvnet.edu
wcu.edu,nlu.edu
ecsu.ctstateu.edu,otterbein.edu
indwes.edu,sju.edu
colsouth.edu,mwsu.edu
sfsu.edu,lrc.edu
sunyit.edu,sxu.edu
eiu.edu,iona.edu
liberty.edu,smu.edu
udmercy.edu,eku.edu
ubalt.edu,bethelks.edu
csustan.edu,ogi.edu
graceland.edu,bard.edu
uindy.edu,sbc.edu
wesleyan.edu,umfk.maine.edu
aum.edu,centre.edu
rollins.edu,uwplatt.edu
wcupa.edu,cup.edu
uscolo.edu,drake.edu
hsc.unt.edu,emory.edu
colorado.edu,tucsonu.edu
franklin.edu,clarkson.edu
umr.edu,gsw.peachnet.edu
marymount.edu,sju.edu
eiu.edu,wittenberg.edu
newberry.edu,hpu.edu
gsw.peachnet.edu,lemoyne.edu
coastal.edu,niu.edu
bloomu.edu,bgu.edu
xula.edu,sshechan.edu
rockefeller.edu,seattleu.edu
okcu.edu,uml.edu
clarke.edu,cofc.edu
bgsp.edu,rwu.edu
umassd.edu,ucf.edu
simons-rock.edu,wcula.edu
northeastern.edu,msoe.edu
ncat.edu,lcsc.edu
platt.edu,bhsu.edu
selu.edu,devry-phx.edu
ogi.edu,niu.edu
berea.edu,uwplatt.edu
kumc.edu,indtech.edu
nl.edu,univnorthco.edu
ttuhsc.edu,fau.edu
nhc.edu,utsystem.edu
lsu.edu,udallas.edu
ferris.edu,tntech.edu
jc.edu,lacollege.edu
umich.edu,brockport.edu
jsums.edu,xula.edu
wooster.edu,bsu.edu
cuc.edu,oakland.edu
iusb.indiana.edu,csuchico.edu
uidaho.edu,mtu.edu
slu.edu,mtu.edu
west.asu.edu,cgs.edu
uncg.edu,bennington.edu
farmingdale.edu,usu.edu
gbc.edu,auc.edu
skc.edu,bentley.edu
ohiou.edu,uncc.edu
denison.edu,csufresno.edu
uiowa.edu,usmma.edu
smith.edu,uaa.alaska.edu
wwu.edu,babson.edu
otterbein.edu,pbac.edu
tui.edu,mit.edu
bloomu.edu,stedwards.edu
middlebury.edu,smcks.edu
wellesley.edu,tamiu.edu
beloit.edu,sc.edu
sbu.edu,trincoll.edu
pittstate.edu,holycross.edu
jwu.edu,mwsu.edu
smcks.edu,bradley.edu
tucsonu.edu,beaver.edu
drew.edu,cup.edu
whitman.edu,averett.edu
uccs.edu,wartburg.edu
barry.edu,kutztown.edu
uu.edu,wooster.edu
lehigh.edu,towson.edu
nmclites.edu,millikin.edu
conncoll.edu,rockhurst.edu
npcts.edu,csubak.edu
pacificu.edu,uor.edu
hastings.edu,depauw.edu
stkate.edu,rhodes.edu
sshechan.edu,cityu.edu
uop.edu,sulross.edu
strayer.edu,lcsc.edu
latech.edu,wlu.edu
tusk.edu,louisville.edu
enmu.edu,cmsu.edu
strose.edu,lwc.edu
barry.edu,kwu.edu
quinnipiac.edu,uhh.hawaii.edu
css.edu,lclark.edu
ume.maine.edu,wit.edu
wmich.edu,umn.edu
louisville.edu,sbuniv.edu
nps.navy.mil,csuchico.edu
mu.edu,emu.edu
hartwick.edu,quincy.edu
utmdacc.uth.tmc.edu,wnec.edu
mcad.edu,wku.edu
dsu.nodak.edu,hartwick.edu
devrycols.edu,haskell.edu
hsc.edu,peru.edu
utulsa.edu,southern.edu
indwes.edu,uncc.edu
olivet.edu,shc.edu
deltast.edu,uscolo.edu
nku.edu,usd.edu
simmons.edu,smsu.edu
uofs.edu,juniata.edu
cc.colorado.edu,dsc.edu
norwich.edu,molloy.edu
ccu.edu,uwrf.edu
uic.edu,kenyon.edu
monm.edu,vsu.edu
urich.edu,uwm.edu
nku.edu,cwu.edu
mu.edu,calvin.edu
ugf.edu,utoledo.edu
snu.edu,sdsmt.edu
sxu.edu,csopp.edu
usafa.af.mil,davenport.edu
fairmont.wvnet.edu,udel.edu
ssu.umd.edu,saintjoe.edu
slc.edu,fiu.edu
calvin.edu,appstate.edu
alma.edu,augie.edu
usao.edu,slc.edu
gsw.peachnet.edu,newhaven.edu
hollins.edu,skc.edu
niagara.edu,brenau.edu
coastal.edu,mtu.edu
sacredheart.edu,sjsu.edu
mrs.umn.edu,alma.edu
mnsfld.edu,sewanee.edu
uwsa.edu,csuhayward.edu
cua.edu,uoregon.edu
westminster.edu,gatech.edu
bentley.edu,towson.edu
ncsu.edu,hastings.edu
umd.umich.edu,udayton.edu
smumn.edu,tucsonu.edu
cuny.edu,utexas.edu
mckenna.edu,shu.edu
wooster.edu,stkate.edu
mcg.edu,american.edu
ndu.edu,ttuhsc.edu
auc.edu,lsu.edu
clinch.edu,lrc.edu
pdx.edu,geneseo.edu
wesleyan.edu,ups.edu
cmich.edu,gonzaga.edu
wvu.edu,uconn.edu
mbc.edu,csusb.edu
washcoll.edu,otterbein.edu
usc.clu.edu,campbell.edu
dbq.edu,apsu.edu
kean.edu,wilmington.edu
vsu.edu,wisc.edu
marshall.edu,sl.psu.edu
msubillings.edu,berea.edu
fsufay.edu,msstate.edu
umf.maine.edu,stthomas.edu
aamu.edu,ogi.edu
wright.edu,metro.msus.edu
npcts.edu,umassd.edu
bsu.umd.edu,cnu.edu
csuhayward.edu,wcsu.ctstateu.edu
wtamu.edu,ucr.edu
daemen.edu,valpo.edu
winona.msus.edu,mwc.edu
greenleaf.edu,wisc.edu
grace.edu,olemiss.edu
uno.edu,mcu.edu
ume.maine.edu,sosc.osshe.edu
alleg.edu,sjc.edu
nwu.edu,cmc.edu
ume.maine.edu,smsu.edu
stthomas.edu,ccaa.edu
cbu.edu,montana.edu
wmpenn.edu,wjc.edu
fau.edu,uwsa.edu
fortlewis.edu,usafa.af.mil
Ripon.EDU,nmhu.edu
otterbein.edu,bhsu.edu
arbor.edu,sshechan.edu
utep.edu,wellesley.edu
vmi.edu,eosc.osshe.edu
duke.edu,depauw.edu
misu.nodak.edu,baldwinw.edu
chapman.edu,twu.edu
whitman.edu,uc.edu
wit.edu,hope.edu
csustan.edu,ric.edu
miami.edu,rockhurst.edu
udmercy.edu,scwww.ctstateu.edu
ursinus.edu,dowling.edu
dsu.edu,nsuok.edu
wnmu.edu,hofstra.edu
waynesburg.edu,auc.edu
wilberforce.edu,dwu.edu
cedarville.edu,artic.edu
bethany.edu,nyu.edu
seattleantioch.edu,stthom.edu
csp.edu,uwf.edu
uidaho.edu,millikin.edu
ursinus.edu,georgian.edu
sbu.edu,csudh.edu
mercer.peachnet.edu,tju.edu
potsdam.edu,ndsu.nodak.edu
oswego.edu,uaa.alaska.edu
njit.edu,lacollege.edu
uu.edu,uwyo.edu
pcci.edu,mssc.edu
stcloud.msus.edu,vanderbilt.edu
websteruniv.edu,apsu.edu
usma.edu,umt.edu
rockefeller.edu,csopp.edu
websteruniv.edu,umassd.edu
shawnee.edu,swarthmore.edu
dickinson.edu,lemoyne.edu
creighton.edu,alaska.edu
wku.edu,shawnee.edu
biola.edu,columbus.iupui.edu
swarthmore.edu,luthersem.edu
molloy.edu,stmarys-ca.edu
ysu.edu,newhaven.edu
gvsu.edu,smcks.edu
southwest.msus.edu,waynesburg.edu
ucla.edu,emich.edu
mcm.acu.edu,tulane.edu
molloy.edu,tucsonu.edu
suffolk.edu,chesapeake.edu
asu.edu,csc.peachnet.edu
csusm.edu,smcks.edu
mtech.edu,upr.clu.edu
niagara.edu,astate.edu
georgian.edu,bbc.edu
georgian.edu,humboldt.edu
tabor.edu,taiu.edu
hamline.edu,ucr.edu
kent.edu,marymt.edu
ltu.edu,jbu.edu
naz.edu,trenton.edu
millersv.edu,mu.edu
ramapo.edu,runet.edu
isu.edu,elon.edu
uga.edu,fgcu.edu
callutheran.edu,uhh.hawaii.edu
uwsp.edu,utoledo.edu
usao.edu,elon.edu
acu.edu,dsu.edu
aum.edu,bgsp.edu
angelo.edu,buffalo.edu
unlv.edu,ccsn.edu
pbac.edu,callutheran.edu
ceu.edu,simons-rock.edu
oswego.edu,juniata.edu
hastings.edu,oakland.edu
arbor.edu,ucf.edu
stcl.edu,wheaton.edu
isu.edu,deltast.edu
cua.edu,dbu.edu
wabash.edu,goshen.edu
tayloru.edu,uth.tmc.edu
vassar.edu,northland.edu
vanderbilt.edu,drexel.edu
uscolo.edu,truman.edu
plymouth.edu,pepperdine.edu
plattsburgh.edu,ufl.edu
uca.edu,missouri.edu
hartwick.edu,atu.edu
cityu.edu,whitworth.edu
unlv.edu,wmich.edu
gettysburg.edu,umassd.edu
benedictine.edu,sju.edu
elmhurst.edu,westminster.edu
hastings.edu,wts.edu
fandm.edu,uchaswv.edu
holycross.edu,seattleantioch.edu
mancol.edu,butler.edu
urich.edu,rice.edu
rice.edu,carlow.edu
sfsu.edu,simmons.edu
westmont.edu,mcm.acu.edu
tamu.edu,purdue.edu
kzoo.edu,univnorthco.edu
ab.umd.edu,columbia.edu
lsu.edu,humboldt.edu
dana.edu,vancouver.wsu.edu
usafa.af.mil,fiu.edu
ndsu.nodak.edu,njit.edu
tucsonu.edu,uor.edu
rhodes.edu,sct.edu
college.antioch.edu,onu.edu
citadel.edu,shsu.edu
bemidji.msus.edu,Dordt.edu
andrews.edu,gasou.edu
philacol.edu,gannon.edu
psu.edu,nl.edu
edgewood.edu,luthersem.edu
valpo.edu,strayer.edu
uchaswv.edu,scottlan.edu
sjcme.edu,kumc.edu
cord.edu,upr.clu.edu
hamilton.edu,unc.edu
sjca.edu,wnec.edu
uaa.alaska.edu,iupui.edu
cua.edu,mcw.edu
wmitchell.edu,uci.edu
vmi.edu,chesapeake.edu
bethel.edu,gonzaga.edu
stthom.edu,puc.edu
uwsuper.edu,unomaha.edu
olivet.edu,dana.edu
emporia.edu,stfrancis.edu
gettysburg.edu,twu.edu
chesapeake.edu,cua.edu
coastal.edu,unlv.edu
slc.edu,mrs.umn.edu
astate.edu,nl.edu
creighton.edu,nwu.edu
svsu.edu,dwc.edu
utk.edu,nd.edu
wheaton.edu,gonzaga.edu
graceland.edu,jbc.edu
sunycentral.edu,gasou.edu
uidaho.edu,scwww.ctstateu.edu
northern.edu,crk.umn.edu
georgian.edu,bard.edu
monmouth.edu,marist.edu
marist.edu,byu.edu
umkc.edu,dbq.edu
rmc.edu,wmich.edu
ccsu.ctstateu.edu,mc.edu
saintmarys.edu,iupui.edu
ecsu.edu,westga.edu
csuohio.edu,emu.edu
uky.edu,mcu.edu
wpi.edu,lrc.edu
sxu.edu,wcslc.edu
gbc.edu,iit.edu
stevens-tech.edu,nsu.edu
tc.columbia.edu,upenn.edu
smumn.edu,cc.colorado.edu
ship.edu,nich.edu
wts.edu,marshall.edu
rockford.edu,uh.edu
uncc.edu,williams.edu
ttuhsc.edu,huntingdon.edu
